Date,Open,High,Low,Close,Volume,SMA,EMA,MACD,ADX,SAR,RSI,ROC,CCI,ATR,Bbands_Upper,Bbands_Middle,Bbands_Lower,OBV,MFI
2016-09-01,9.229,9.263,9.099,9.154,5580771,9.320,9.357,-0.149,14.227,9.672,39.925,-2.538,-89.121,0.240,9.596,9.320,9.044,4521176.000,47.272
2016-09-02,9.154,9.270,9.133,9.215,2805205,9.324,9.344,-0.144,13.407,9.646,42.852,-1.241,-72.610,0.233,9.593,9.324,9.055,7326381.000,46.568
2016-09-05,9.201,9.256,9.052,9.092,4676480,9.317,9.320,-0.148,13.122,9.621,38.783,-4.575,-111.597,0.231,9.601,9.317,9.033,2649901.000,39.280
2016-09-06,9.099,9.167,9.086,9.167,2058808,9.307,9.305,-0.144,12.857,9.596,42.383,-3.165,-94.789,0.220,9.597,9.307,9.017,4708709.000,43.372
2016-09-07,9.181,9.181,9.058,9.086,4278826,9.294,9.284,-0.145,12.778,9.573,39.644,-4.304,-98.740,0.213,9.598,9.294,8.989,429883.000,33.194
2016-09-08,9.079,9.120,8.922,8.970,4703043,9.283,9.254,-0.154,13.473,9.551,36.086,-6.130,-132.914,0.212,9.616,9.283,8.949,-4273160.000,32.398
2016-09-09,8.977,8.990,8.786,8.820,6169073,9.262,9.213,-0.171,14.762,9.513,32.074,-6.902,-168.397,0.212,9.651,9.262,8.872,-10442233.000,25.887
2016-09-12,8.766,8.766,8.296,8.377,8383452,9.211,9.134,-0.218,17.477,9.455,23.693,-10.805,-259.722,0.234,9.754,9.211,8.668,-18825685.000,17.324
2016-09-13,8.384,8.439,8.180,8.309,6735352,9.157,9.055,-0.257,20.244,9.339,22.709,-10.426,-256.788,0.236,9.820,9.157,8.494,-25561037.000,16.763
2016-09-14,8.296,8.445,8.200,8.418,3021740,9.112,8.994,-0.277,22.763,9.200,27.867,-8.036,-194.915,0.236,9.843,9.112,8.381,-22539297.000,20.929
2016-09-19,8.439,8.745,8.439,8.623,4133877,9.066,8.959,-0.272,23.109,9.078,36.433,-5.310,-111.199,0.243,9.801,9.066,8.332,-18405420.000,26.661
2016-09-20,8.602,8.731,8.527,8.548,3062334,9.020,8.920,-0.272,23.431,8.970,34.801,-6.830,-95.309,0.240,9.764,9.020,8.277,-21467754.000,27.643
2016-09-21,8.582,8.582,8.493,8.520,1698879,8.972,8.882,-0.271,23.849,8.875,34.201,-6.920,-95.917,0.229,9.712,8.972,8.231,-23166633.000,29.353
2016-09-22,8.548,8.629,8.527,8.561,1812056,8.922,8.851,-0.263,23.926,8.792,35.983,-7.095,-76.487,0.221,9.632,8.922,8.212,-21354577.000,23.320
2016-09-23,8.602,8.636,8.514,8.582,2083382,8.877,8.826,-0.253,24.053,8.718,36.904,-5.618,-67.036,0.214,9.554,8.877,8.201,-19271195.000,28.602
2016-09-26,8.582,8.582,8.268,8.302,2738001,8.823,8.776,-0.264,25.051,8.654,30.459,-9.435,-96.383,0.221,9.500,8.823,8.145,-22009196.000,23.421
2016-09-27,8.316,8.405,8.275,8.350,1717950,8.776,8.735,-0.266,25.977,8.636,32.622,-8.096,-94.379,0.214,9.450,8.776,8.103,-20291246.000,24.884
2016-09-28,8.384,8.411,8.275,8.377,3169145,8.738,8.701,-0.262,26.784,8.582,33.888,-6.606,-83.794,0.209,9.409,8.738,8.066,-17122101.000,26.130
2016-09-29,8.377,8.418,8.255,8.262,2968800,8.695,8.659,-0.266,27.610,8.533,31.205,-6.332,-85.619,0.205,9.375,8.695,8.015,-20090901.000,26.964
2016-09-30,8.262,8.316,8.207,8.302,1983224,8.652,8.625,-0.262,28.555,8.491,33.215,-0.894,-87.960,0.199,9.315,8.652,7.989,-18107677.000,28.623
2016-10-10,8.336,8.445,8.268,8.418,4033547,8.615,8.606,-0.247,28.364,8.454,38.681,1.311,-61.606,0.197,9.243,8.615,7.987,-14074130.000,38.548
2016-10-11,8.418,8.432,8.343,8.391,2593401,8.574,8.585,-0.235,28.187,8.445,37.895,-0.324,-55.780,0.189,9.145,8.574,8.003,-16667531.000,50.150
2016-10-12,8.391,8.418,8.350,8.398,3012435,8.539,8.567,-0.222,28.023,8.445,38.233,-2.607,-51.137,0.181,9.062,8.539,8.016,-13655096.000,62.829
2016-10-13,8.391,8.479,8.364,8.473,2917115,8.504,8.558,-0.203,27.338,8.180,41.973,-0.876,-28.402,0.176,8.941,8.504,8.067,-10737981.000,62.756
2016-10-14,8.473,8.704,8.432,8.670,4635841,8.484,8.569,-0.170,25.670,8.186,50.485,1.759,52.325,0.183,8.840,8.484,8.127,-6102140.000,63.252
2016-10-17,8.670,8.977,8.636,8.691,6437041,8.470,8.580,-0.141,25.479,8.207,51.281,1.512,147.943,0.194,8.766,8.470,8.174,334901.000,73.802
2016-10-18,8.691,9.018,8.650,8.854,6007112,8.471,8.607,-0.104,25.473,8.253,57.209,3.175,187.408,0.207,8.776,8.471,8.167,6342013.000,80.063
2016-10-19,8.820,8.956,8.725,8.779,3740462,8.491,8.623,-0.079,25.467,8.314,53.968,5.742,147.012,0.208,8.820,8.491,8.163,2601551.000,72.875
2016-10-20,8.704,8.786,8.588,8.636,3772046,8.508,8.624,-0.070,24.503,8.370,48.337,3.426,71.865,0.208,8.831,8.508,8.184,-1170495.000,66.133
2016-10-21,8.636,8.677,8.534,8.575,2501594,8.516,8.620,-0.068,23.255,8.422,46.117,2.358,33.902,0.203,8.838,8.516,8.194,-3672089.000,66.360
2016-10-24,8.575,8.711,8.568,8.677,3711051,8.518,8.625,-0.056,22.288,8.470,50.221,5.029,58.156,0.199,8.845,8.518,8.192,38962.000,70.958
2016-10-25,8.677,8.704,8.595,8.684,2786156,8.525,8.631,-0.047,21.389,8.513,50.492,4.594,59.865,0.192,8.859,8.525,8.191,2825118.000,70.803
2016-10-26,8.609,8.745,8.520,8.697,5177203,8.534,8.637,-0.037,20.018,9.018,51.065,3.317,52.128,0.195,8.876,8.534,8.192,8002321.000,67.702
2016-10-27,8.684,9.092,8.663,9.038,11057258,8.558,8.675,-0.002,20.525,8.520,62.695,7.711,148.583,0.211,8.965,8.558,8.151,19059579.000,75.639
2016-10-28,9.038,9.161,8.779,8.793,6906851,8.568,8.686,0.006,21.262,8.520,52.940,4.704,123.190,0.223,8.988,8.568,8.149,12152728.000,66.021
2016-10-31,8.847,8.956,8.786,8.888,3954727,8.598,8.706,0.019,21.946,8.546,55.819,4.904,101.378,0.220,9.021,8.598,8.175,16107455.000,60.777
2016-11-01,8.888,9.099,8.888,9.045,9979570,8.632,8.738,0.042,23.128,8.571,60.134,4.320,134.477,0.219,9.082,8.632,8.183,26087025.000,64.693
2016-11-02,9.052,9.161,8.997,9.099,7131435,8.668,8.772,0.064,24.439,8.594,61.541,4.702,144.711,0.215,9.145,8.668,8.192,33218460.000,66.755
2016-11-03,9.092,9.154,9.024,9.031,5389526,8.707,8.797,0.075,25.656,8.628,58.750,2.000,122.618,0.209,9.170,8.707,8.244,27828934.000,60.170
2016-11-04,8.983,9.426,8.861,9.324,16171807,8.758,8.847,0.106,27.623,8.660,65.910,6.206,148.843,0.234,9.256,8.758,8.261,44000741.000,64.833
2016-11-07,9.324,9.596,9.317,9.535,11137370,8.814,8.913,0.146,29.847,8.721,69.958,10.410,205.555,0.238,9.391,8.814,8.237,55138111.000,67.027
2016-11-08,9.535,10.373,9.528,10.216,20865734,8.905,9.037,0.230,32.997,8.809,78.732,19.142,289.956,0.281,9.716,8.905,8.095,76003845.000,75.982
2016-11-09,10.223,10.271,9.937,10.162,16690895,8.993,9.144,0.289,35.922,8.997,76.800,17.111,238.932,0.285,9.937,8.993,8.050,59312950.000,81.650
2016-11-10,10.107,10.965,10.107,10.775,15731929,9.108,9.299,0.381,39.153,9.162,82.118,24.078,251.675,0.326,10.299,9.108,7.918,75044879.000,85.358
2016-11-11,10.747,11.143,10.747,10.959,12950762,9.223,9.457,0.463,42.248,9.414,83.351,25.998,223.429,0.331,10.641,9.223,7.805,87995641.000,86.497
2016-11-14,10.897,11.074,10.625,10.972,12333293,9.337,9.602,0.523,44.470,9.691,83.442,21.402,168.506,0.339,10.923,9.337,7.751,100328934.000,78.639
2016-11-15,10.979,11.265,10.850,11.170,10061874,9.453,9.751,0.580,46.681,9.923,84.745,27.033,153.705,0.345,11.210,9.453,7.696,110390808.000,82.362
2016-11-16,11.156,11.715,11.074,11.599,7600104,9.594,9.927,0.652,49.022,10.165,87.117,30.498,153.103,0.366,11.553,9.594,7.635,117990912.000,82.232
2016-11-17,11.647,11.912,11.476,11.715,9058740,9.748,10.097,0.711,51.301,10.475,87.674,29.518,143.831,0.371,11.859,9.748,7.636,127049652.000,86.520
2016-11-18,11.728,12.423,11.728,12.300,10021164,9.934,10.307,0.795,53.645,10.762,90.023,35.180,149.649,0.395,12.247,9.934,7.621,137070816.000,89.262
2016-11-21,12.212,13.063,11.108,12.035,16029571,10.102,10.472,0.831,56.030,11.094,82.356,33.258,126.848,0.506,12.511,10.102,7.693,121041245.000,79.186
2016-11-22,12.191,13.077,11.503,12.695,15517257,10.302,10.683,0.902,58.249,11.108,85.634,36.158,129.967,0.582,12.868,10.302,7.736,136558502.000,80.562
2016-11-23,12.539,12.791,11.987,12.062,8870235,10.471,10.815,0.897,60.309,11.108,71.853,26.500,108.349,0.598,13.035,10.471,7.906,127688267.000,78.140
2016-11-24,11.939,12.546,11.531,12.212,11514539,10.629,10.948,0.895,60.348,11.502,72.962,19.533,88.924,0.628,13.212,10.629,8.047,139202806.000,71.030
2016-11-25,12.048,12.144,11.721,11.885,6715321,10.784,11.037,0.857,60.385,11.531,66.782,16.957,71.851,0.618,13.277,10.784,8.291,132487485.000,66.574
2016-11-28,11.885,12.294,11.783,11.933,7596465,10.936,11.122,0.822,60.560,11.531,67.218,10.746,71.507,0.611,13.317,10.936,8.555,140083950.000,64.430
2016-11-29,12.021,12.110,10.741,10.741,19662735,11.021,11.086,0.689,57.522,13.077,49.666,-1.989,14.369,0.665,13.242,11.021,8.800,120421215.000,53.776
2016-11-30,10.516,10.693,9.665,10.305,18084207,11.081,11.012,0.543,54.101,13.030,45.034,-6.083,-62.426,0.694,13.150,11.081,9.012,102337008.000,44.546
2016-12-01,10.209,10.686,9.944,10.509,8863608,11.155,10.964,0.438,50.924,12.895,47.505,-5.915,-60.149,0.698,13.022,11.155,9.289,111200616.000,43.064
2016-12-02,10.673,11.081,10.509,10.931,11821156,11.235,10.961,0.385,47.310,12.766,52.280,-5.755,-32.399,0.689,12.908,11.235,9.563,123021772.000,50.107
2016-12-05,10.918,11.224,10.387,10.850,7915246,11.301,10.950,0.332,44.196,12.642,51.308,-7.384,-43.944,0.699,12.795,11.301,9.807,115106526.000,44.722
2016-12-06,11.136,11.136,10.707,10.972,5302702,11.339,10.952,0.297,41.305,12.523,52.728,-10.797,-39.049,0.680,12.757,11.339,9.921,120409228.000,43.829
2016-12-07,11.156,11.170,10.931,10.993,4984892,11.381,10.956,0.268,38.685,12.409,52.975,-8.659,-36.375,0.648,12.704,11.381,10.057,125394120.000,42.193
2016-12-08,10.993,11.211,10.802,10.972,7276859,11.390,10.958,0.240,35.977,12.299,52.679,-13.573,-43.868,0.631,12.699,11.390,10.082,118117261.000,36.101
2016-12-09,10.972,11.020,10.700,10.700,5624650,11.377,10.933,0.194,33.571,12.194,48.772,-11.293,-64.182,0.609,12.707,11.377,10.048,112492611.000,39.138
