Date,Open,High,Low,Close,Volume,SMA,EMA,MACD,ADX,SAR,RSI,ROC,CCI,ATR,Bbands_Upper,Bbands_Middle,Bbands_Lower,OBV,MFI
2016-09-01,57.74,57.81,56.74,57.13,3657700,57.58,57.29,0.38,17.26,58.26,51.65,-0.67,-129.78,0.75,58.12,57.58,57.05,44571700.00,41.33
2016-09-02,57.30,57.84,57.13,57.42,3131700,57.57,57.30,0.35,16.22,58.20,54.65,-0.75,-44.47,0.74,58.10,57.57,57.03,47703400.00,41.30
2016-09-06,57.39,57.93,57.29,57.92,3956400,57.56,57.36,0.36,15.42,58.14,59.36,0.20,60.71,0.74,58.09,57.56,57.04,51659800.00,48.16
2016-09-07,57.68,58.31,57.52,58.30,3200700,57.60,57.45,0.39,15.35,56.74,62.52,1.01,172.29,0.74,58.22,57.60,56.98,54860500.00,48.32
2016-09-08,58.26,58.76,58.18,58.34,4078900,57.67,57.54,0.42,15.95,56.77,62.88,1.35,262.15,0.73,58.30,57.67,57.03,58939400.00,49.63
2016-09-09,57.90,58.15,57.36,57.36,5144900,57.65,57.52,0.36,14.93,56.85,51.02,-0.85,-8.68,0.75,58.30,57.65,57.00,53794500.00,47.49
2016-09-12,57.00,58.21,56.49,58.04,4923200,57.67,57.57,0.36,14.98,58.76,57.09,1.14,-23.11,0.82,58.35,57.67,57.00,58717700.00,46.06
2016-09-13,57.44,57.53,56.41,56.69,5620300,57.62,57.48,0.25,15.12,58.71,45.18,-0.98,-219.26,0.87,58.41,57.62,56.82,53097400.00,38.37
2016-09-14,56.69,56.69,55.79,55.91,5403300,57.54,57.33,0.10,15.98,58.62,40.04,-2.02,-301.02,0.88,58.63,57.54,56.45,47694100.00,37.64
2016-09-15,55.84,56.52,55.72,56.22,4634300,57.45,57.23,-0.00,16.85,58.45,42.83,-2.58,-221.37,0.87,58.67,57.45,56.24,52328400.00,45.01
2016-09-16,55.82,56.33,55.63,56.07,10475800,57.37,57.12,-0.09,17.75,58.23,41.81,-2.73,-190.41,0.86,58.71,57.37,56.02,41852600.00,40.54
2016-09-19,56.33,56.88,56.08,56.42,3388600,57.30,57.05,-0.13,17.52,57.97,45.11,-2.32,-108.75,0.86,58.70,57.30,55.91,45241200.00,39.77
2016-09-20,56.83,56.93,56.11,56.12,2927600,57.23,56.96,-0.18,17.21,57.74,42.89,-1.76,-102.74,0.85,58.71,57.23,55.75,42313600.00,34.48
2016-09-21,56.36,56.81,56.12,56.62,3849300,57.17,56.93,-0.18,16.92,57.53,47.48,-1.40,-77.10,0.84,58.65,57.17,55.69,46162900.00,40.96
2016-09-22,56.68,57.32,56.66,56.92,3213700,57.15,56.93,-0.15,15.71,57.34,50.18,-1.72,-20.53,0.83,58.62,57.15,55.67,49376600.00,46.29
2016-09-23,56.82,57.10,56.18,56.24,5083900,57.10,56.86,-0.18,15.34,57.32,44.67,-3.54,-67.06,0.84,58.62,57.10,55.57,44292700.00,40.16
2016-09-26,55.88,56.48,55.36,55.86,6946600,57.03,56.77,-0.24,16.04,57.32,41.94,-4.26,-116.88,0.86,58.65,57.03,55.42,37346100.00,32.67
2016-09-27,56.31,56.74,56.00,56.62,3916300,56.98,56.75,-0.22,16.22,57.10,48.70,-1.29,-54.87,0.86,58.58,56.98,55.38,41262400.00,33.27
2016-09-28,56.61,56.81,56.13,56.56,3580100,56.93,56.74,-0.20,16.27,56.89,48.28,-2.55,-44.92,0.85,58.50,56.93,55.35,37682300.00,32.66
2016-09-29,56.55,57.08,55.45,55.82,4132500,56.83,56.65,-0.25,17.12,55.36,42.64,-1.54,-78.50,0.90,58.43,56.83,55.23,33549800.00,33.21
2016-09-30,56.18,56.70,56.04,56.41,4307000,56.79,56.62,-0.23,17.90,55.39,47.81,0.88,-46.05,0.90,58.40,56.79,55.19,37856800.00,39.95
2016-10-03,56.22,56.41,55.96,56.20,2770000,56.73,56.58,-0.24,18.72,55.43,46.27,-0.03,-61.47,0.87,58.33,56.73,55.14,35086800.00,41.75
2016-10-04,56.23,56.70,56.11,56.29,3709400,56.65,56.56,-0.23,18.87,55.46,47.07,0.39,-38.00,0.85,58.16,56.65,55.14,38796200.00,48.77
2016-10-05,56.45,57.12,56.38,56.97,3345000,56.58,56.60,-0.16,18.21,55.49,52.91,0.97,29.94,0.85,57.90,56.58,55.27,42141200.00,47.73
2016-10-06,56.26,56.37,54.67,54.83,7975900,56.41,56.43,-0.28,19.47,57.12,38.52,-2.30,-211.07,0.95,57.68,56.41,55.14,34165300.00,49.82
2016-10-07,54.98,55.12,54.42,54.67,4217400,56.27,56.26,-0.39,20.84,57.12,37.70,-3.44,-262.37,0.93,57.68,56.27,54.87,29947900.00,43.55
2016-10-10,55.02,55.32,54.77,54.79,2522900,56.11,56.12,-0.45,21.76,57.01,38.79,-3.74,-194.85,0.91,57.40,56.11,54.82,32470800.00,48.05
2016-10-11,54.47,54.62,53.60,53.87,3926500,55.97,55.91,-0.57,23.50,56.91,34.02,-4.20,-251.47,0.93,57.56,55.97,54.38,28544300.00,41.60
2016-10-12,53.84,54.04,53.63,53.72,3293800,55.86,55.70,-0.67,25.12,56.71,33.29,-3.82,-207.32,0.90,57.73,55.86,53.99,25250500.00,36.17
2016-10-13,53.32,53.61,52.67,53.48,4220500,55.72,55.49,-0.76,27.19,56.53,32.09,-5.55,-195.56,0.91,57.85,55.72,53.60,21030000.00,36.87
2016-10-14,54.01,54.18,53.20,53.25,4963800,55.58,55.27,-0.84,28.16,56.22,30.96,-5.87,-141.15,0.91,57.96,55.58,53.21,16066200.00,46.76
2016-10-17,53.35,53.48,52.92,53.02,3903900,55.41,55.06,-0.92,29.25,55.93,29.88,-5.00,-139.98,0.89,58.00,55.41,52.82,12162300.00,39.90
2016-10-18,53.57,53.62,53.01,53.18,3416600,55.27,54.88,-0.95,30.03,55.67,31.73,-5.71,-114.73,0.87,58.01,55.27,52.53,15578900.00,39.51
2016-10-19,53.48,54.60,53.35,54.22,7888500,55.15,54.82,-0.88,29.25,55.43,42.38,-3.53,-63.55,0.91,57.85,55.15,52.44,23467400.00,50.09
2016-10-20,57.84,60.00,57.32,59.11,25870700,55.26,55.23,-0.43,29.80,52.67,67.88,5.02,179.79,1.26,58.38,55.26,52.13,49338100.00,64.01
2016-10-21,58.82,59.83,58.78,59.63,8561200,55.43,55.65,-0.03,30.32,52.82,69.41,4.66,182.79,1.24,59.07,55.43,51.78,57899300.00,69.74
2016-10-24,59.92,60.13,59.37,59.39,5174000,55.60,56.00,0.27,30.93,52.96,67.79,8.31,163.19,1.21,59.64,55.60,51.57,52725300.00,70.34
2016-10-25,59.25,59.65,58.96,59.08,3882300,55.73,56.30,0.47,31.09,53.25,65.65,8.06,130.04,1.17,60.02,55.73,51.43,48843000.00,66.04
2016-10-26,58.87,59.37,58.55,59.13,3621800,55.85,56.57,0.63,30.82,53.52,65.85,7.92,109.51,1.14,60.39,55.85,51.32,52464800.00,69.14
2016-10-27,59.31,59.50,58.80,59.25,4751300,56.03,56.82,0.76,30.65,53.79,66.31,9.97,101.80,1.11,60.79,56.03,51.26,57216100.00,74.17
2016-10-28,59.44,59.50,58.69,58.82,4994500,56.15,57.01,0.82,30.37,54.04,62.97,9.49,86.16,1.09,61.07,56.15,51.23,52221600.00,69.13
2016-10-31,59.14,59.16,58.70,58.80,3233400,56.28,57.18,0.85,30.10,54.28,62.76,9.95,73.79,1.05,61.33,56.28,51.22,48988200.00,69.43
2016-11-01,59.11,59.14,58.19,58.65,3761600,56.39,57.32,0.85,29.27,54.52,61.49,10.14,60.94,1.04,61.55,56.39,51.24,45226600.00,68.84
2016-11-02,58.21,58.45,57.66,57.94,3659000,56.44,57.38,0.79,27.92,54.74,55.79,9.27,40.73,1.04,61.64,56.44,51.25,41567600.00,69.01
2016-11-03,58.01,58.21,57.57,57.83,3796500,56.59,57.42,0.72,26.58,54.96,54.97,8.74,33.46,1.01,61.77,56.59,51.42,37771100.00,64.34
2016-11-04,57.98,58.49,57.57,57.99,3429900,56.76,57.48,0.67,25.59,55.17,56.02,6.96,33.72,1.00,61.89,56.76,51.63,41201000.00,68.43
2016-11-07,59.18,59.60,59.00,59.31,4012100,56.98,57.65,0.73,25.57,55.36,63.58,0.33,63.91,1.05,62.15,56.98,51.82,45213100.00,68.77
2016-11-08,59.12,59.54,58.70,59.37,3956000,57.26,57.82,0.78,25.19,55.55,63.89,-0.43,57.33,1.03,62.31,57.26,52.20,49169100.00,62.74
